,Rango,ciudad,areas,cuartos,baño,area de parqueo,monto de renta,seguro,Total
0,0,1,240,3,3,4,8000,121,9121
1,1,0,64,2,1,1,820,11,1493
2,2,1,443,5,5,4,7000,89,12680
3,3,1,73,2,2,1,1250,16,2116
4,4,1,19,1,1,0,1200,16,1257
5,5,1,13,1,1,0,2200,28,2270
6,6,1,55,1,1,1,5000,64,7389
7,7,1,55,2,2,1,1300,17,1984
8,8,1,82,3,1,1,2000,26,2963
9,9,1,32,1,1,1,2900,37,3470
10,10,0,60,1,1,0,720,10,1230
11,11,0,64,1,2,1,1550,7,1963
12,12,1,20,1,1,0,1800,23,2555
13,13,1,375,4,5,5,15000,191,22790
14,14,1,92,2,1,1,3950,51,4691
15,15,0,56,2,1,1,950,13,1319
16,16,0,188,2,3,8,3010,46,3640
17,17,1,100,3,2,1,3500,53,3813
18,18,1,192,3,3,2,7800,99,10630
19,19,1,93,3,2,1,3500,45,5269
20,20,1,155,3,3,2,2650,40,2923
21,21,1,80,2,2,0,2550,33,3229
22,22,1,65,2,2,2,3500,45,4452
23,23,1,320,3,3,4,9000,136,10140
24,24,1,180,3,5,3,8100,103,11100
25,25,1,31,1,1,1,3200,41,3577
26,26,1,105,4,2,2,6500,83,8642
27,27,1,300,3,4,2,14000,178,17260
28,28,0,150,3,2,2,1800,23,3443
29,29,1,130,3,3,2,6000,91,6175
30,30,1,70,2,1,0,3000,39,3610
31,31,1,120,3,1,4,3500,53,3787
32,32,1,250,3,4,2,3480,53,4193
33,33,1,50,1,1,0,1550,20,1920
34,34,1,240,3,3,3,3800,49,8933
35,35,1,250,4,4,2,6600,100,6700
36,36,0,94,3,3,2,2200,28,3170
37,37,1,176,3,4,3,6500,83,8958
38,38,1,180,3,4,5,3300,50,3616
39,39,1,191,3,3,4,15000,191,19100
40,40,1,25,1,1,0,1698,22,1977
41,41,1,800,4,5,4,15000,191,24530
42,42,1,340,3,4,3,9800,148,10340
43,43,1,90,2,1,0,1450,22,1522
44,44,0,650,5,4,8,8500,128,9070
45,45,1,100,2,2,0,2700,35,3000
46,46,1,230,4,4,4,13500,172,17060
47,47,1,190,2,3,2,13050,197,14530
48,48,1,205,4,4,6,2720,35,6164
49,49,1,96,3,3,2,1790,23,2769
50,50,1,396,4,4,4,10000,151,10900
51,51,0,74,3,2,1,1600,21,2521
52,52,0,30,1,1,0,500,7,897
53,53,1,64,3,2,1,1400,18,2005
54,54,1,105,3,2,2,7800,99,9931
55,55,1,50,1,2,1,5900,75,7284
56,56,1,60,2,1,0,1300,17,1717
57,57,1,50,2,1,1,2000,26,2660
58,58,1,90,2,2,0,1700,26,1764
59,59,1,130,3,2,1,7500,96,9213
60,60,1,20,1,1,0,1950,25,1975
61,61,1,400,4,3,2,5650,85,6073
62,62,1,220,3,3,5,7500,113,7613
63,63,1,750,7,6,5,5800,88,6447
64,64,1,20,1,1,0,1800,23,2555
65,65,0,140,3,2,2,2100,27,3408
66,66,1,22,1,1,0,1080,14,1358
67,67,1,345,2,3,2,12000,153,16590
68,68,0,46,2,1,1,1100,5,1408
69,69,1,35,1,1,1,3250,42,3872
70,70,0,72,2,2,1,1200,16,1813
71,71,1,60,1,1,2,1900,25,5611
72,72,1,180,3,2,4,11000,166,11830
73,73,1,83,3,2,1,3300,42,4227
74,74,1,50,1,1,0,1550,20,2117
75,75,1,38,1,1,1,3020,39,4958
76,76,1,140,3,3,2,2800,36,4428
77,77,0,62,2,1,1,980,13,1526
78,78,1,70,1,1,0,4000,51,5835
79,79,0,55,1,1,0,1100,14,1774
80,80,0,60,2,1,1,815,6,1271
81,81,1,85,2,2,1,1738,23,3272
82,82,1,134,3,3,3,8000,102,10140
83,83,1,200,3,2,2,10000,127,13820
84,84,1,170,3,2,2,3900,59,4226
85,85,1,46,1,1,2,6220,79,8764
86,86,1,20,1,1,0,1800,23,2555
87,87,1,58,2,2,1,4500,58,5702
88,88,1,96,3,2,3,2350,30,3717
89,89,1,190,3,3,3,13000,165,16250
90,90,1,87,3,2,4,2000,26,2893
91,91,1,42,1,1,0,2400,31,2875
92,92,1,145,3,3,1,11000,140,12900
93,93,1,250,4,6,4,14500,184,18560
94,94,1,90,2,1,1,3000,39,4089
95,95,1,250,6,2,2,2472,38,2536
96,96,1,500,3,4,5,7620,115,8829
97,97,1,80,2,2,2,8800,112,10610
98,98,0,120,3,2,3,2500,38,2718
99,99,0,265,3,3,2,2400,37,2577
100,100,0,50,2,1,1,1080,14,1424
101,101,0,126,3,3,2,3800,49,4796
102,102,0,55,2,1,1,720,10,1120
103,103,1,29,1,1,1,2700,35,3519
104,104,1,59,2,1,1,2450,32,3134
105,105,1,200,2,4,4,7800,99,11770
106,106,1,74,3,2,1,2196,28,2901
107,107,1,290,4,5,2,10000,127,15300
108,108,1,172,3,4,3,8000,102,10520
109,109,1,25,1,1,0,2600,33,2970
110,110,1,50,1,1,1,1100,17,1117
111,111,1,40,1,1,0,1100,14,1414
112,112,1,80,2,2,2,2465,38,2503
113,113,1,280,6,6,3,5000,76,6194
114,114,1,60,1,1,1,4723,18,5591
115,115,1,115,2,3,2,12000,153,14320
116,116,1,540,3,3,4,15000,191,24890
117,117,1,76,2,1,1,4250,54,5427
118,118,0,150,4,5,2,2980,38,4478
119,119,1,130,3,2,1,5500,70,8179
120,120,0,64,2,1,1,730,10,1199
121,121,1,55,2,2,1,1300,17,1787
122,122,1,50,1,1,0,1300,17,1917
123,123,1,120,2,3,2,7000,89,9269
124,124,0,236,3,4,4,11000,140,13180
125,125,0,30,1,1,0,550,7,903
126,126,0,270,3,3,0,8000,121,8621
127,127,0,48,1,1,0,670,9,1050
128,128,0,198,6,3,4,2000,31,2176
