FECHA_CORTE;ITEM;DENOMINACION;TIPO_DE_LIGA;DISCIPLINA_DEPORTIVA;RESOLUCION_INSCRIPCION_RENADE;FECHA_RESOLUCION;OBSERVACIONES;;;
20230731;1;LIGA DISTRITAL DE AJEDREZ DE ITE;DISTRITAL;AJEDREZ;085-DNCTD-RND-2006;6/03/2006;;;;
20230731;2;LIGA DEPORTIVA DISTRITAL DE AJEDREZ DE TACNA;DISTRITAL;AJEDREZ;078-DNCTD-RND-2008;6/02/2008;;;;
20230731;3;LIGA DISTRITAL DE AJEDREZ DE CHIMBOTE;DISTRITAL;AJEDREZ;281-DNCTD-RND-2011;21/12/2011;;;;
20230731;4;LIGA DEPORTIVA DISTRITAL DE AJEDREZ DE CUSCO;DISTRITAL;AJEDREZ;944-DINADAF-RND-2017;1/08/2017;Resolución Nº0392-DNCTD-RND-2021, período 05 de marzo del 2021 al 31 de diciembre del 2024;;;
20230731;5;LIGA DISTRITAL DE AJEDREZ DE TRUJILLO;DISTRITAL;AJEDREZ;0841-DINADAF-RND-2018;9/04/2018;;;;
20230731;6;LIGA DEPORTIVA DISTRITAL DE AJEDREZ DE ILO;DISTRITAL;AJEDREZ;0675-DINADAF-RND-2018;17/04/2018;Resolución Nº0373-DNCTD-RND-2021, período 31 de mayo de 2021 al 31 de diciembre de 2024;;;
20230731;7;LIGA DISTRITAL DE AJEDREZ DE HUANCAYO;DISTRITAL;AJEDREZ;0102-DNCTD-RND-2020;28/01/2020;periodo 12 de octubre de 2019 al 11 de octubre de 2023;;;
20230731;8;LIGA DISTRITAL DE AJEDREZ DE PILCOMAYO;DISTRITAL;AJEDREZ;0103-DNCTD-RND-2020;28/01/2020;periodo 12 de octubre de 2019 al 11 de octubre de 2023;;;
20230731;9;LIGA DISTRITAL DE AJEDREZ DE CHILCA;DISTRITAL;AJEDREZ;0105-DNCTD-RND-2020;28/01/2020;periodo 12 de octubre de 2019 al 11 de octubre de 2023;;;
20230731;10;LIGA DISTRITAL DE AJEDREZ DE EL TAMBO;DISTRITAL;AJEDREZ;0106-DNCTD-RND-2020;28/01/2020;periodo 21 de octubre de 2019 al 20 de octubre de 2023;;;
20230731;11;LIGA DISTRITAL DE AJEDREZ DE HUANCAVELICA;DISTRITAL;AJEDREZ;0107-DNCTD-RND-2020;29/01/2020;;;;
20230731;12;LIGA DISTRITAL DE AJEDREZ DE SICUANI;DISTRITAL;AJEDREZ;0112-DNCTD-RND-2020;30/01/2020;Resolución Nº0406-DNCTD-RND-2021, período 28 de junio del 2021 al 28 de junio del 2023;;;
20230731;13;LIGA DISTRITAL DE ATLETISMO DE HUÁNUCO;DISTRITAL;ATLETISMO;567-DNCTD-RND-2007;24/08/2007;"Resolución N°0497-2022-IPD-DNCTD/SRND.
periodo 31 de enero del 2022 hasta el 31 de diciembre del 2024";;;
20230731;14;LIGA DISTRITAL DE ATLETISMO DE EL TAMBO;DISTRITAL;ATLETISMO;645-DNCTD-RND-2007;20/09/2007;Resolución N°420-DNCTD-RND-2020, periodo 20 de noviembre de 2019 al 19 de noviembre de 2023;;;
20230731;15;LIGA DISTRITAL DE ATLETISMO DE PUNO;DISTRITAL;ATLETISMO;725-DNCTD-RND-2007;25/10/2007;;;;
20230731;16;LIGA DEPORTIVA DISTRITAL DE ATLETISMO DE TRUJILLO;DISTRITAL;ATLETISMO;102-DNCTD-RND-2008;20/02/2008;;;;
