,Videojuego,Género,Distribuidora,Plataforma Original
0,Oregon Trail,Estrategia,MECC,HP 2100
1,Pong,Deportes,Atari,Arcade
2,Zork,Aventura,Infocom,PDP-10
3,Space Invaders,Matamarcianos,Taito,Arcade
4,Asteroides,Matamarcianos,Atari,Arcade
5,Pac-Man,Laberinto,Namco,Arcade
6,Defender,Matamarcianos,Williams Entertainment,Arcade
7,Donkey Kong,Plataformas,Nintendo,Arcade
8,Frogger,Acción,Sega,Arcade
9,Galaga,Matamarcianos,Namco,Arcade
10,Joust,Acción,Williams Entertainment,Arcade
11,Ms. Pac-Man,Maze,Midway,Arcade
12,Pitfall!,Plataformas,Activision,Atari 2600
13,Robotron: 2084,videojuego de disparos,Williams Entertainment,Arcade
14,Elite,Simulación espacial,Acornsoft,BBC Micro
15,Tetris,Rompecabezas,The Tetris Company,Electronika 60
16,Gauntlet,Acción y Rol,Atari,Arcade
17,Super Mario Bros.,Plataformas,Nintendo,NES
18,The Legend of Zelda,Acción-aventura,Nintendo,NES
19,Contra,Run and gun,Konami,Arcade
20,Double Dragon,Videojuegos de palizas,Technos Japan,Arcade
21,Mike Tyson's Punch-Out!!,Videojuego de deportes,Nintendo,NES
22,R-Type,Matamarcianos,Irem,Arcade
23,Mega Man 2,Plataformas,Capcom,NES
24,Super Mario Bros. 3,Plataformas,Nintendo,NES
25,Prince of Persia,Plataformas,Broderbund,Apple II
26,SimCity,City-building,Maxis,Macintosh
27,The Secret of Monkey Island,Aventura,LucasArts,PC
28,Super Mario World,Plataformas,Nintendo,Super NES
29,The Legend of Zelda: A Link to the Past,Acción-aventura,Nintendo,Super NES
30,Lemmings,Rompecabezas,Psygnosis,Amiga
31,Monkey Island 2: LeChuck's Revenge,Aventura,LucasArts,PC
32,Sonic the Hedgehog,Plataformas,Sega,Sega Genesis
33,Street Fighter II,Lucha,Capcom,Arcade
34,Sonic the Hedgehog 2,Plataformas,Sega,Sega Genesis
35,Super Mario Kart,Kart racing,Nintendo,Super NES
36,Wolfenstein 3D,disparos en primera persona,Apogee Software,PC
37,Day of the Tentacle,Aventura,LucasArts,PC
38,Daytona USA,Carreras,Sega,Arcade
39,Doom,disparos en primera persona,id Software,PC
40,The Legend of Zelda: Link's Awakening,Acción-aventura,Nintendo,Game Boy
41,Mortal Kombat II,Lucha,Midway,"Arcade, PlayStation(solo en Japón),
Sega Saturn, Super NES, 
Commodore Amiga, PC"
42,Myst,Aventura,Broderbund,Macintosh
43,NBA Jam,Videojuego de deportes,Midway,Arcade
44,Phantasy Star IV,Videojuego de rol,Sega,Sega Genesis
45,Sam & Max Hit the Road,Aventura,LucasArts,PC
46,Secret of Mana,Rol de acción,Square,Super NES
47,SimCity 2000,City-building,Maxis,Macintosh
48,Donkey Kong Country,Plataformas,Nintendo,Super NES
49,EarthBound,Videojuego de rol,Nintendo,Super NES
50,Final Fantasy VI,Videojuego de rol,Square,Super NES
51,Star Wars: TIE Fighter,Simulación espacial,LucasArts,PC
52,Super Metroid,Acción-aventura,Nintendo,Super NES
53,UFO: Enemy Unknown,Estrategia por turnos,MicroProse,PC
54,Chrono Trigger,Videojuego de rol,Square,Super NES
55,Warcraft II: Tides of Darkness,Estrategia en tiempo real,Blizzard Entertainment,PC
56,Wipeout,Racing,Psygnosis,PlayStation
57,Yoshi's Island,Plataformas,Nintendo,Super NES
58,Civilization II,Estrategia por turnos,MicroProse,PC
59,Command & Conquer: Red Alert,Estrategia en tiempo real,Virgin Interactive,PC
60,Nights into Dreams...,Acción,Sega,Sega Saturn
61,Pokémon Red and Blue,Videojuego de rol,Nintendo,Game Boy
62,Quake,disparos en primera persona,GT Interactive,PC
63,Resident Evil,Horror de supervivencia,Capcom,PlayStation
64,Super Mario 64,Plataformas,Nintendo,Nintendo 64
65,Tomb Raider,Acción-aventura,Eidos Interactive,Sega Saturn
66,Castlevania: Symphony of the Night,Acción-aventura,Konami,PlayStation
67,Final Fantasy Tactics,Rol táctico,Square,PlayStation
68,Final Fantasy VII,Videojuego de rol,Square,PlayStation
69,GoldenEye 007,disparos en primera persona,Nintendo,Nintendo 64
70,Gran Turismo,Racing,Sony Computer Entertainment,PlayStation
71,Quake II,disparos en primera persona,Activision,PC
72,Star Fox 64,Matamarcianos,Nintendo,Nintendo 64
73,Star Wars Jedi Knight: Dark Forces II,disparos en primera persona,LucasArts,PC
74,Tekken 3,Lucha,Namco,Arcade
75,Ultima Online,MMORPG,Electronic Arts,PC
76,Dance Dance Revolution,Ritmo,Konami,Arcade
77,Grim Fandango,Aventura,LucasArts,PC
78,Half-Life,disparos en primera persona,Sierra Studios,PC
79,The Legend of Zelda: Ocarina of Time,Acción-aventura,Nintendo,Nintendo 64
80,Metal Gear Solid,Sigilo,Konami,PlayStation
81,Panzer Dragoon Saga,Videojuego de rol,Sega,Sega Saturn
82,Resident Evil 2,Horror de supervivencia,Capcom,PlayStation
83,SoulCalibur,Lucha,Namco,Arcade
84,StarCraft,Estrategia en tiempo real,Blizzard Entertainment,PC
85,Thief: The Dark Project,Sigilo,Eidos Interactive,PC
86,Age of Empires II: The Age of Kings,Estrategia en tiempo real,Microsoft Game Studios,PC
87,EverQuest,MMORPG,Sony Online Entertainment,PC
88,Homeworld,Estrategia en tiempo real,Sierra Studios,PC
89,Planescape: Torment,Videojuego de rol,Interplay Entertainment,PC
